method,code,nbarcodes,rstdv,rep,sensitivity,fdr,n_true,n_decoded,n_fd,not_decoded_true,param_l1,param_peak,param_Q,param_tau,best_lambda,param_k1
bardensr,seqFISHp2019,5,0.0,8,1.0,0.0,5,5,0.0,0.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,0.25,8,1.0,0.0,5,5,0.0,0.0,0.01,0.08,,,,
bardensr,seqFISHp2019,5,0.5,8,1.0,0.0,5,5,0.0,0.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,0.75,8,0.2,0.0,5,1,0.0,4.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,1.0,8,0.2,0.0,5,1,0.0,4.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,1.25,8,0.4,0.0,5,2,0.0,3.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,1.5,8,0.2,0.0,5,1,0.0,4.0,0.01,0.06,,,,
bardensr,seqFISHp2019,5,1.75,8,0.0,0.0,5,0,0.0,5.0,0.0,0.08,,,,
bardensr,seqFISHp2019,5,2.0,8,0.0,0.0,5,0,0.0,5.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,0.0,8,0.1,0.0,10,1,0.0,9.0,0.03,0.1,,,,
bardensr,seqFISHp2019,10,0.25,8,1.0,0.0,10,10,0.0,0.0,0.001,0.06,,,,
bardensr,seqFISHp2019,10,0.5,8,0.6,0.0,10,6,0.0,4.0,0.001,0.05,,,,
bardensr,seqFISHp2019,10,0.75,8,0.1,0.0,10,1,0.0,9.0,0.0,0.08,,,,
bardensr,seqFISHp2019,10,1.0,8,0.0,0.0,10,0,0.0,10.0,0.0,0.08,,,,
bardensr,seqFISHp2019,10,1.25,8,0.1,0.0,10,1,0.0,9.0,0.03,0.08,,,,
bardensr,seqFISHp2019,10,1.5,8,0.0,0.0,10,0,0.0,10.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,1.75,8,0.2,0.0,10,2,0.0,8.0,0.0,0.1,,,,
bardensr,seqFISHp2019,10,2.0,8,0.0,0.0,10,0,0.0,10.0,0.0,0.1,,,,
bardensr,seqFISHp2019,15,0.0,8,0.4,0.0,15,6,0.0,9.0,0.01,0.06,,,,
bardensr,seqFISHp2019,15,0.25,8,0.6,0.0,15,9,0.0,6.0,0.03,0.1,,,,
bardensr,seqFISHp2019,15,0.5,8,0.1333333333333333,0.0,15,2,0.0,13.0,0.0,0.05,,,,
bardensr,seqFISHp2019,15,0.75,8,0.1333333333333333,0.0,15,2,0.0,13.0,0.01,0.1,,,,
bardensr,seqFISHp2019,15,1.0,8,0.0,0.0,15,0,0.0,15.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.25,8,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,0.04,,,,
bardensr,seqFISHp2019,15,1.5,8,0.0666666666666666,0.0,15,1,0.0,14.0,0.1,0.15,,,,
bardensr,seqFISHp2019,15,1.75,8,0.0666666666666666,0.0,15,1,0.0,14.0,0.01,0.08,,,,
bardensr,seqFISHp2019,15,2.0,8,0.0666666666666666,0.0,15,1,0.0,14.0,0.01,0.08,,,,
bardensr,seqFISHp2019,20,0.0,8,0.3,0.0,20,6,0.0,14.0,0.001,0.06,,,,
bardensr,seqFISHp2019,20,0.25,8,0.15,0.0,20,3,0.0,17.0,0.01,0.12,,,,
bardensr,seqFISHp2019,20,0.5,8,0.1,0.0,20,2,0.0,18.0,0.1,0.1,,,,
bardensr,seqFISHp2019,20,0.75,8,0.15,0.0,20,3,0.0,17.0,0.01,0.08,,,,
bardensr,seqFISHp2019,20,1.0,8,0.05,0.0,20,1,0.0,19.0,0.0,0.06,,,,
bardensr,seqFISHp2019,20,1.25,8,0.05,0.0,20,1,0.0,19.0,0.0,0.06,,,,
bardensr,seqFISHp2019,20,1.5,8,0.05,0.0,20,1,0.0,19.0,0.01,0.08,,,,
bardensr,seqFISHp2019,20,1.75,8,0.0,0.0,20,0,0.0,20.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,2.0,8,0.0,0.0,20,0,0.0,20.0,0.0,0.1,,,,
bardensr,seqFISHp2019,5,0.0,9,1.0,0.0,5,5,0.0,0.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,0.25,9,1.0,0.0,5,5,0.0,0.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,0.5,9,1.0,0.0,5,5,0.0,0.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,0.75,9,1.0,0.0,5,5,0.0,0.0,0.0,0.05,,,,
bardensr,seqFISHp2019,5,1.0,9,0.2,0.0,5,1,0.0,4.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,1.25,9,0.2,0.0,5,1,0.0,4.0,0.0,0.08,,,,
bardensr,seqFISHp2019,5,1.5,9,0.0,0.0,5,0,0.0,5.0,0.0,0.08,,,,
bardensr,seqFISHp2019,5,1.75,9,0.0,0.0,5,0,0.0,5.0,0.0,0.08,,,,
bardensr,seqFISHp2019,5,2.0,9,0.2,0.0,5,1,0.0,4.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,0.0,9,0.4,0.0,10,4,0.0,6.0,0.01,0.12,,,,
bardensr,seqFISHp2019,10,0.25,9,0.5,0.0,10,5,0.0,5.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,0.5,9,0.1,0.0,10,1,0.0,9.0,0.03,0.1,,,,
bardensr,seqFISHp2019,10,0.75,9,0.2,0.0,10,2,0.0,8.0,0.03,0.1,,,,
bardensr,seqFISHp2019,10,1.0,9,0.5,0.0,10,5,0.0,5.0,0.0,0.04,,,,
bardensr,seqFISHp2019,10,1.25,9,0.0,0.0,10,0,0.0,10.0,0.0,0.08,,,,
bardensr,seqFISHp2019,10,1.5,9,0.2,0.0,10,2,0.0,8.0,0.0,0.04,,,,
bardensr,seqFISHp2019,10,1.75,9,0.1,0.0,10,1,0.0,9.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,2.0,9,0.0,0.0,10,0,0.0,10.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,0.0,9,0.4666666666666667,0.0,15,7,0.0,8.0,0.03,0.12,,,,
bardensr,seqFISHp2019,15,0.25,9,0.6666666666666666,0.0,15,10,0.0,5.0,0.03,0.12,,,,
bardensr,seqFISHp2019,15,0.5,9,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,0.75,9,0.1333333333333333,0.0,15,2,0.0,13.0,0.03,0.12,,,,
bardensr,seqFISHp2019,15,1.0,9,0.5333333333333333,0.0,15,8,0.0,7.0,0.03,0.1,,,,
bardensr,seqFISHp2019,15,1.25,9,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,1.5,9,0.0666666666666666,0.0,15,1,0.0,14.0,0.03,0.12,,,,
bardensr,seqFISHp2019,15,1.75,9,0.1333333333333333,0.0,15,2,0.0,13.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,2.0,9,0.0666666666666666,0.0,15,1,0.0,14.0,0.01,0.08,,,,
bardensr,seqFISHp2019,20,0.0,9,0.0,0.0,20,0,0.0,20.0,0.0,0.12,,,,
bardensr,seqFISHp2019,20,0.25,9,0.1,0.0,20,2,0.0,18.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,0.5,9,0.05,0.0,20,1,0.0,19.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,0.75,9,0.0,0.0,20,0,0.0,20.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.0,9,0.2,0.0,20,4,0.0,16.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.25,9,0.05,0.0,20,1,0.0,19.0,0.03,0.1,,,,
bardensr,seqFISHp2019,20,1.5,9,0.1,0.0,20,2,0.0,18.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.75,9,0.05,0.0,20,1,0.0,19.0,0.0,0.15,,,,
bardensr,seqFISHp2019,20,2.0,9,0.05,0.0,20,1,0.0,19.0,0.1,0.12,,,,
bardensr,seqFISHp2019,5,0.0,10,1.0,0.0,5,5,0.0,0.0,0.001,0.08,,,,
bardensr,seqFISHp2019,5,0.25,10,0.6,0.0,5,3,0.0,2.0,0.03,0.06,,,,
bardensr,seqFISHp2019,5,0.5,10,1.0,0.0,5,5,0.0,0.0,0.0,0.05,,,,
bardensr,seqFISHp2019,5,0.75,10,0.6,0.0,5,3,0.0,2.0,0.001,0.06,,,,
bardensr,seqFISHp2019,5,1.0,10,0.2,0.0,5,1,0.0,4.0,0.01,0.08,,,,
bardensr,seqFISHp2019,5,1.25,10,0.6,0.0,5,3,0.0,2.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,1.5,10,0.0,0.0,5,0,0.0,5.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,1.75,10,0.2,0.0,5,1,0.0,4.0,0.01,0.08,,,,
bardensr,seqFISHp2019,5,2.0,10,0.2,0.0,5,1,0.0,4.0,0.0,0.04,,,,
bardensr,seqFISHp2019,10,0.0,10,1.0,0.0,10,10,0.0,0.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,0.25,10,1.0,0.0,10,10,0.0,0.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,0.5,10,0.7,0.0,10,7,0.0,3.0,0.03,0.08,,,,
bardensr,seqFISHp2019,10,0.75,10,0.7,0.0,10,7,0.0,3.0,0.03,0.12,,,,
bardensr,seqFISHp2019,10,1.0,10,0.2,0.0,10,2,0.0,8.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,1.25,10,0.2,0.0,10,2,0.0,8.0,0.001,0.06,,,,
bardensr,seqFISHp2019,10,1.5,10,0.0,0.0,10,0,0.0,10.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,1.75,10,0.0,0.0,10,0,0.0,10.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,2.0,10,0.1,0.0,10,1,0.0,9.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,0.0,10,0.4,0.0,15,6,0.0,9.0,0.03,0.08,,,,
bardensr,seqFISHp2019,15,0.25,10,0.2,0.0,15,3,0.0,12.0,0.03,0.12,,,,
bardensr,seqFISHp2019,15,0.5,10,0.1333333333333333,0.0,15,2,0.0,13.0,0.001,0.08,,,,
bardensr,seqFISHp2019,15,0.75,10,0.2,0.0,15,3,0.0,12.0,0.03,0.1,,,,
bardensr,seqFISHp2019,15,1.0,10,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.25,10,0.1333333333333333,0.0,15,2,0.0,13.0,0.03,0.12,,,,
bardensr,seqFISHp2019,15,1.5,10,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,1.75,10,0.2,0.0,15,3,0.0,12.0,0.0,0.05,,,,
bardensr,seqFISHp2019,15,2.0,10,0.0,0.0,15,0,0.0,15.0,0.0,0.1,,,,
bardensr,seqFISHp2019,20,0.0,10,0.3,0.0,20,6,0.0,14.0,0.0,0.06,,,,
bardensr,seqFISHp2019,20,0.25,10,0.1,0.0,20,2,0.0,18.0,0.03,0.15,,,,
bardensr,seqFISHp2019,20,0.5,10,0.25,0.0,20,5,0.0,15.0,0.03,0.12,,,,
bardensr,seqFISHp2019,20,0.75,10,0.2,0.0,20,4,0.0,16.0,0.03,0.08,,,,
bardensr,seqFISHp2019,20,1.0,10,0.05,0.0,20,1,0.0,19.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.25,10,0.0,0.0,20,0,0.0,20.0,0.0,0.06,,,,
bardensr,seqFISHp2019,20,1.5,10,0.0,0.0,20,0,0.0,20.0,0.0,0.12,,,,
bardensr,seqFISHp2019,20,1.75,10,0.0,0.0,20,0,0.0,20.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,2.0,10,0.05,0.0,20,1,0.0,19.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,0.0,11,1.0,0.0,5,5,0.0,0.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,0.25,11,0.6,0.0,5,3,0.0,2.0,0.01,0.08,,,,
bardensr,seqFISHp2019,5,0.5,11,1.0,0.0,5,5,0.0,0.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,0.75,11,0.2,0.0,5,1,0.0,4.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,1.0,11,0.8,0.0,5,4,0.0,1.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,1.25,11,0.2,0.0,5,1,0.0,4.0,0.0,0.08,,,,
bardensr,seqFISHp2019,5,1.5,11,0.4,0.0,5,2,0.0,3.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,1.75,11,0.0,0.0,5,0,0.0,5.0,0.0,0.08,,,,
bardensr,seqFISHp2019,5,2.0,11,0.0,0.0,5,0,0.0,5.0,0.0,0.08,,,,
bardensr,seqFISHp2019,10,0.0,11,0.4,0.0,10,4,0.0,6.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,0.25,11,1.0,0.0,10,10,0.0,0.0,0.0,0.04,,,,
bardensr,seqFISHp2019,10,0.5,11,0.4,0.0,10,4,0.0,6.0,0.01,0.08,,,,
bardensr,seqFISHp2019,10,0.75,11,0.2,0.0,10,2,0.0,8.0,0.001,0.06,,,,
bardensr,seqFISHp2019,10,1.0,11,0.3,0.0,10,3,0.0,7.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,1.25,11,0.1,0.0,10,1,0.0,9.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,1.5,11,0.1,0.0,10,1,0.0,9.0,0.03,0.08,,,,
bardensr,seqFISHp2019,10,1.75,11,0.0,0.0,10,0,0.0,10.0,0.0,0.08,,,,
bardensr,seqFISHp2019,10,2.0,11,0.0,0.0,10,0,0.0,10.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,0.0,11,0.4666666666666667,0.0,15,7,0.0,8.0,0.03,0.1,,,,
bardensr,seqFISHp2019,15,0.25,11,0.6,0.0,15,9,0.0,6.0,0.03,0.1,,,,
bardensr,seqFISHp2019,15,0.5,11,0.1333333333333333,0.0,15,2,0.0,13.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,0.75,11,0.5333333333333333,0.0,15,8,0.0,7.0,0.001,0.04,,,,
bardensr,seqFISHp2019,15,1.0,11,0.1333333333333333,0.0,15,2,0.0,13.0,0.03,0.1,,,,
bardensr,seqFISHp2019,15,1.25,11,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,1.5,11,0.0,0.0,15,0,0.0,15.0,0.0,0.05,,,,
bardensr,seqFISHp2019,15,1.75,11,0.0,0.0,15,0,0.0,15.0,0.0,0.05,,,,
bardensr,seqFISHp2019,15,2.0,11,0.0,0.0,15,0,0.0,15.0,0.0,0.05,,,,
bardensr,seqFISHp2019,20,0.0,11,0.25,0.0,20,5,0.0,15.0,0.03,0.1,,,,
bardensr,seqFISHp2019,20,0.25,11,0.15,0.0,20,3,0.0,17.0,0.03,0.12,,,,
bardensr,seqFISHp2019,20,0.5,11,0.2,0.0,20,4,0.0,16.0,0.001,0.08,,,,
bardensr,seqFISHp2019,20,0.75,11,0.05,0.0,20,1,0.0,19.0,0.03,0.15,,,,
bardensr,seqFISHp2019,20,1.0,11,0.05,0.0,20,1,0.0,19.0,0.01,0.08,,,,
bardensr,seqFISHp2019,20,1.25,11,0.0,0.0,20,0,0.0,20.0,0.0,0.1,,,,
bardensr,seqFISHp2019,20,1.5,11,0.05,0.0,20,1,0.0,19.0,0.1,0.12,,,,
bardensr,seqFISHp2019,20,1.75,11,0.05,0.0,20,1,0.0,19.0,0.03,0.08,,,,
bardensr,seqFISHp2019,20,2.0,11,0.1,0.0,20,2,0.0,18.0,0.001,0.1,,,,
bardensr,seqFISHp2019,5,0.0,12,1.0,0.0,5,5,0.0,0.0,0.03,0.08,,,,
bardensr,seqFISHp2019,5,0.25,12,1.0,0.0,5,5,0.0,0.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,0.5,12,0.8,0.0,5,4,0.0,1.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,0.75,12,0.6,0.0,5,3,0.0,2.0,0.01,0.05,,,,
bardensr,seqFISHp2019,5,1.0,12,1.0,0.0,5,5,0.0,0.0,0.0,0.05,,,,
bardensr,seqFISHp2019,5,1.25,12,0.4,0.0,5,2,0.0,3.0,0.01,0.04,,,,
bardensr,seqFISHp2019,5,1.5,12,0.0,0.0,5,0,0.0,5.0,0.0,0.08,,,,
bardensr,seqFISHp2019,5,1.75,12,0.4,0.0,5,2,0.0,3.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,2.0,12,0.2,0.0,5,1,0.0,4.0,0.0,0.08,,,,
bardensr,seqFISHp2019,10,0.0,12,0.1,0.0,10,1,0.0,9.0,0.03,0.12,,,,
bardensr,seqFISHp2019,10,0.25,12,0.4,0.0,10,4,0.0,6.0,0.03,0.1,,,,
bardensr,seqFISHp2019,10,0.5,12,0.3,0.0,10,3,0.0,7.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,0.75,12,0.3,0.0,10,3,0.0,7.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,1.0,12,0.1,0.0,10,1,0.0,9.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,1.25,12,0.0,0.0,10,0,0.0,10.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,1.5,12,0.2,0.0,10,2,0.0,8.0,0.03,0.1,,,,
bardensr,seqFISHp2019,10,1.75,12,0.0,0.0,10,0,0.0,10.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,2.0,12,0.2,0.0,10,2,0.0,8.0,0.01,0.06,,,,
bardensr,seqFISHp2019,15,0.0,12,0.0,0.0,15,0,0.0,15.0,0.0,0.05,,,,
bardensr,seqFISHp2019,15,0.25,12,0.2,0.0,15,3,0.0,12.0,0.01,0.12,,,,
bardensr,seqFISHp2019,15,0.5,12,0.0,0.0,15,0,0.0,15.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,0.75,12,0.0,0.0,15,0,0.0,15.0,0.0,0.05,,,,
bardensr,seqFISHp2019,15,1.0,12,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,0.05,,,,
bardensr,seqFISHp2019,15,1.25,12,0.0,0.0,15,0,0.0,15.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.5,12,0.1333333333333333,0.0,15,2,0.0,13.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.75,12,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,2.0,12,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,0.0,12,0.35,0.0,20,7,0.0,13.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,0.25,12,0.3,0.0,20,6,0.0,14.0,0.03,0.15,,,,
bardensr,seqFISHp2019,20,0.5,12,0.05,0.0,20,1,0.0,19.0,0.0,0.12,,,,
bardensr,seqFISHp2019,20,0.75,12,0.15,0.0,20,3,0.0,17.0,0.01,0.1,,,,
bardensr,seqFISHp2019,20,1.0,12,0.0,0.0,20,0,0.0,20.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.25,12,0.0,0.0,20,0,0.0,20.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.5,12,0.0,0.0,20,0,0.0,20.0,0.0,0.1,,,,
bardensr,seqFISHp2019,20,1.75,12,0.0,0.0,20,0,0.0,20.0,0.0,0.1,,,,
bardensr,seqFISHp2019,20,2.0,12,0.05,0.0,20,1,0.0,19.0,0.01,0.1,,,,
bardensr,seqFISHp2019,5,0.0,13,1.0,0.0,5,5,0.0,0.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,0.25,13,0.8,0.0,5,4,0.0,1.0,0.03,0.08,,,,
bardensr,seqFISHp2019,5,0.5,13,0.8,0.0,5,4,0.0,1.0,0.1,0.2,,,,
bardensr,seqFISHp2019,5,0.75,13,0.8,0.0,5,4,0.0,1.0,0.0,0.05,,,,
bardensr,seqFISHp2019,5,1.0,13,0.4,0.0,5,2,0.0,3.0,0.0,0.05,,,,
bardensr,seqFISHp2019,5,1.25,13,0.4,0.0,5,2,0.0,3.0,0.001,0.06,,,,
bardensr,seqFISHp2019,5,1.5,13,0.0,0.0,5,0,0.0,5.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,1.75,13,0.0,0.0,5,0,0.0,5.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,2.0,13,0.0,0.0,5,0,0.0,5.0,0.0,0.05,,,,
bardensr,seqFISHp2019,10,0.0,13,0.6,0.0,10,6,0.0,4.0,0.03,0.1,,,,
bardensr,seqFISHp2019,10,0.25,13,0.2,0.0,10,2,0.0,8.0,0.1,0.3,,,,
bardensr,seqFISHp2019,10,0.5,13,0.4,0.0,10,4,0.0,6.0,0.03,0.1,,,,
bardensr,seqFISHp2019,10,0.75,13,0.6,0.0,10,6,0.0,4.0,0.01,0.08,,,,
bardensr,seqFISHp2019,10,1.0,13,0.3,0.0,10,3,0.0,7.0,0.001,0.08,,,,
bardensr,seqFISHp2019,10,1.25,13,0.3,0.0,10,3,0.0,7.0,0.03,0.08,,,,
bardensr,seqFISHp2019,10,1.5,13,0.1,0.0,10,1,0.0,9.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,1.75,13,0.1,0.0,10,1,0.0,9.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,2.0,13,0.1,0.0,10,1,0.0,9.0,0.01,0.1,,,,
bardensr,seqFISHp2019,15,0.0,13,0.8,0.0,15,12,0.0,3.0,0.03,0.12,,,,
bardensr,seqFISHp2019,15,0.25,13,0.2,0.0,15,3,0.0,12.0,0.01,0.06,,,,
bardensr,seqFISHp2019,15,0.5,13,0.2666666666666666,0.0,15,4,0.0,11.0,0.001,0.06,,,,
bardensr,seqFISHp2019,15,0.75,13,0.0666666666666666,0.0,15,1,0.0,14.0,0.01,0.1,,,,
bardensr,seqFISHp2019,15,1.0,13,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,1.25,13,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.5,13,0.0,0.0,15,0,0.0,15.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.75,13,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,2.0,13,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,0.0,13,0.05,0.0,20,1,0.0,19.0,0.03,0.12,,,,
bardensr,seqFISHp2019,20,0.25,13,0.3,0.0,20,6,0.0,14.0,0.03,0.12,,,,
bardensr,seqFISHp2019,20,0.5,13,0.05,0.0,20,1,0.0,19.0,0.1,0.12,,,,
bardensr,seqFISHp2019,20,0.75,13,0.1,0.0,20,2,0.0,18.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.0,13,0.05,0.0,20,1,0.0,19.0,0.0,0.06,,,,
bardensr,seqFISHp2019,20,1.25,13,0.0,0.0,20,0,0.0,20.0,0.0,0.06,,,,
bardensr,seqFISHp2019,20,1.5,13,0.0,0.0,20,0,0.0,20.0,0.0,0.1,,,,
bardensr,seqFISHp2019,20,1.75,13,0.0,0.0,20,0,0.0,20.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,2.0,13,0.05,0.0,20,1,0.0,19.0,0.0,0.1,,,,
bardensr,seqFISHp2019,5,0.0,14,1.0,0.0,5,5,0.0,0.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,0.25,14,1.0,0.0,5,5,0.0,0.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,0.5,14,1.0,0.0,5,5,0.0,0.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,0.75,14,0.2,0.0,5,1,0.0,4.0,0.001,0.06,,,,
bardensr,seqFISHp2019,5,1.0,14,0.6,0.0,5,3,0.0,2.0,0.001,0.04,,,,
bardensr,seqFISHp2019,5,1.25,14,0.2,0.0,5,1,0.0,4.0,0.01,0.05,,,,
bardensr,seqFISHp2019,5,1.5,14,0.2,0.0,5,1,0.0,4.0,0.0,0.06,,,,
bardensr,seqFISHp2019,5,1.75,14,0.4,0.0,5,2,0.0,3.0,0.0,0.04,,,,
bardensr,seqFISHp2019,5,2.0,14,0.0,0.0,5,0,0.0,5.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,0.0,14,0.3,0.0,10,3,0.0,7.0,0.1,0.3,,,,
bardensr,seqFISHp2019,10,0.25,14,0.8,0.0,10,8,0.0,2.0,0.001,0.04,,,,
bardensr,seqFISHp2019,10,0.5,14,0.5,0.0,10,5,0.0,5.0,0.03,0.08,,,,
bardensr,seqFISHp2019,10,0.75,14,0.2,0.0,10,2,0.0,8.0,0.0,0.06,,,,
bardensr,seqFISHp2019,10,1.0,14,0.1,0.0,10,1,0.0,9.0,0.03,0.12,,,,
bardensr,seqFISHp2019,10,1.25,14,0.1,0.0,10,1,0.0,9.0,0.0,0.1,,,,
bardensr,seqFISHp2019,10,1.5,14,0.0,0.0,10,0,0.0,10.0,0.0,0.08,,,,
bardensr,seqFISHp2019,10,1.75,14,0.1,0.0,10,1,0.0,9.0,0.01,0.06,,,,
bardensr,seqFISHp2019,10,2.0,14,0.0,0.0,10,0,0.0,10.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,0.0,14,0.8,0.0,15,12,0.0,3.0,0.03,0.1,,,,
bardensr,seqFISHp2019,15,0.25,14,0.2,0.0,15,3,0.0,12.0,0.03,0.15,,,,
bardensr,seqFISHp2019,15,0.5,14,0.4666666666666667,0.0,15,7,0.0,8.0,0.03,0.08,,,,
bardensr,seqFISHp2019,15,0.75,14,0.1333333333333333,0.0,15,2,0.0,13.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.0,14,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,1.25,14,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,15,1.5,14,0.0,0.0,15,0,0.0,15.0,0.0,0.06,,,,
bardensr,seqFISHp2019,15,1.75,14,0.1333333333333333,0.0,15,2,0.0,13.0,0.01,0.08,,,,
bardensr,seqFISHp2019,15,2.0,14,0.0,0.0,15,0,0.0,15.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,0.0,14,0.35,0.0,20,7,0.0,13.0,0.03,0.12,,,,
bardensr,seqFISHp2019,20,0.25,14,0.05,0.0,20,1,0.0,19.0,0.0,0.06,,,,
bardensr,seqFISHp2019,20,0.5,14,0.2,0.0,20,4,0.0,16.0,0.01,0.08,,,,
bardensr,seqFISHp2019,20,0.75,14,0.15,0.0,20,3,0.0,17.0,0.03,0.12,,,,
bardensr,seqFISHp2019,20,1.0,14,0.0,0.0,20,0,0.0,20.0,0.0,0.08,,,,
bardensr,seqFISHp2019,20,1.25,14,0.1,0.0,20,2,0.0,18.0,0.03,0.12,,,,
bardensr,seqFISHp2019,20,1.5,14,0.0,0.0,20,0,0.0,20.0,0.0,0.12,,,,
bardensr,seqFISHp2019,20,1.75,14,0.05,0.0,20,1,0.0,19.0,0.0,0.12,,,,
bardensr,seqFISHp2019,20,2.0,14,0.0,0.0,20,0,0.0,20.0,0.0,0.1,,,,
bardensr,seqFISHp2019,5,0.0,15,1.0,0.0,5,5,0.0,0.0,0.01,0.05,,,,
bardensr,seqFISHp2019,5,0.25,15,1.0,0.0,5,5,0.0,0.0,0.0,0.05,,,,
bardensr,seqFISHp2019,5,0.5,15,1.0,0.0,5,5,0.0,0.0,0.0,0.03,,,,
