pos,cell,Aars,Aco2,Actn4,Aebp1,Aqp1,Arf1,Arpc2,Arpc5,Cct3,Cct5,Cct8,Cebpd,Cited2,Ckap4,Clta,Cnn2,Cops7a,Cox7a2l,Crlf1,Cs,Csf1,Csnk1a1,Csnk2b,Ctbp1,Ctsb,Ddx17,Dpy19l1,Eef1g,Efemp1,Efemp2,Ehmt2,Eif3a,Eif3d,Eif3e,Eif3f,Eif3i,Eif4b,Eif4g2,Emp1,Ercc1,Ergic1,Fbln2,Fgf7,Fkbp4,Fkbp8,Fkbp9,Fus,Fxr1,G3bp1,Gas1,Got2,Gpi1,Grina,Gsto1,H1f0,Hdgf,Hif1a,Hmgcs1,Hnrnpk,Hnrnpul1,Hsd17b12,Hspa8,Hspa9,Hspd1,Idh2,Idh3g,Igfbp4,Igfbp6,Il1rl1,Jun,Junb,Kars,Khdrbs1,Lamp1,Lamp2,Laptm4a,Lmna,Loxl1,Lrrc59,Ltbp3,Ly6e,Maged1,Malat1,Mbd3,Mdh2,Mmd,Mmp14,Morf4l2,Mrfap1,Mrpl1,Mrpl10,Mrpl12,Mrpl15,Mrpl16,Mrpl17,Mrpl20,Mrpl28,Mrpl35,Mrpl37,Mrpl38,Mrpl4,Mrpl41,Mrpl43,Mrpl44,Mrpl45,Mrps18b,Mrps2,Mrps25,Mrps31,Mrps5,Mrps9,Msn,Mta1,Mtap,Mtch1,Mvd,Myc,Myh9,Naca,Nap1l1,Ncl,Ndufs2,Ndufs8,Ndufv1,Neat1,Nedd4,Nfe2l1,Npc2,Nr2f2,Nr4a1,Nucb1,Nudt9,Oaf,Oxct1,Pa2g4,Pafah1b3,Paics,Pcdhgc3,Pdha1,Pdia3,Pdia4,Pdia6,Pgrmc1,Pkm,Pla2g4a,Plin2,Plk2,Polr2e,Polr2m,Ppm1g,Ppp2r1a,Prkcsh,Prmt1,Prps1l3,Prps2,Prpsap1,Prpsap2,Prrc2a,Prrx1,Psap,Psma7,Psmc2,Psmd2,Psmd4,Psmd7,Psmd8,Ptbp1,Ptges3,Ptgs1,Ptgs2,Puf60,Rab34,Rab5c,Rab7,Rac1,Rad21,Raly,Ran,Rarg,Rars,Rbbp7,Rbm3,Rcc2,Rcn3,Rnf11,Rpl15,Rpl18a,Rpl21,Rpl4,Rpn2,Rps15a,Rps6ka2,Rps6ka3,Rps6ka6,Rps6kb1,Rps6kb2,Rpsa,Rrp1,Sae1,Sat1,Scarb1,Sdc4,Sdhc,Sec13,Sf3b2,Sfpq,Skp1a,Slc25a1,Slc38a2,Snrnp70,Snx3,Snx5,Spon2,Spp1,Srebf2,Srm,Ssr2,Ssr3,Ssrp1,St13,Stip1,Stt3a,Taldo1,Tapbp,Tbrg1,Tcf25,Tcp1,Thy1,Timp2,Tmbim6,Tmed9,Tnc,Tnfrsf1a,Tnk2,Tomm40,Top2a,Tpi1,Tpm1,Tpm4,Trap1,Trim28,Trp53,Trps1,Tsc22d1,Tspan3,Tubb5,Twist2,Txn2,U2af2,Uba1,Ube2d3,Ube2m,Ubxn1,Uck2,Ugdh,Uqcrc1,Uqcrq,Use1,Vat1,Vdac1,Vim,Xdh,Ybx1,Ywhae,Ywhag,Ywhah,Ywhaq,Ywhaz,Zfp36l1,Zfp36l2,Zyx
51,38,6.0,10.0,13.0,2.0,35.0,28.0,16.0,2.0,5.0,10.0,1.0,0.0,6.0,1.0,6.0,0.0,12.0,5.0,0.0,4.0,1.0,26.0,13.0,10.0,31.0,15.0,5.0,19.0,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,9.0,18.0,5.0,4.0,8.0,1.0,1.0,4.0,8.0,1.0,26.0,4.0,5.0,1.0,15.0,15.0,5.0,2.0,12.0,9.0,5.0,3.0,21.0,11.0,3.0,73.0,4.0,8.0,1.0,2.0,2.0,7.0,1.0,0.0,10.0,5.0,11.0,31.0,5.0,5.0,15.0,2.0,2.0,4.0,31.0,18.0,488.0,9.0,15.0,5.0,2.0,8.0,17.0,0.0,4.0,6.0,2.0,0.0,1.0,4.0,3.0,3.0,4.0,9.0,1.0,2.0,0.0,1.0,5.0,2.0,8.0,2.0,2.0,0.0,5.0,1.0,7.0,1.0,6.0,1.0,0.0,5.0,1.0,9.0,11.0,18.0,2.0,7.0,1.0,19.0,14.0,1.0,2.0,7.0,6.0,5.0,1.0,11.0,4.0,3.0,4.0,2.0,7.0,12.0,2.0,11.0,11.0,36.0,1.0,2.0,31.0,7.0,5.0,11.0,16.0,4.0,5.0,3.0,0.0,3.0,0.0,11.0,4.0,56.0,8.0,3.0,9.0,9.0,11.0,6.0,2.0,5.0,1.0,1.0,10.0,0.0,7.0,24.0,14.0,5.0,10.0,7.0,0.0,2.0,17.0,6.0,4.0,1.0,15.0,16.0,7.0,0.0,0.0,7.0,4.0,5.0,0.0,2.0,3.0,4.0,17.0,19.0,2.0,0.0,0.0,4.0,5.0,7.0,9.0,28.0,14.0,3.0,9.0,0.0,2.0,3.0,0.0,1.0,27.0,2.0,7.0,4.0,8.0,18.0,16.0,4.0,3.0,0.0,7.0,2.0,5.0,57.0,0.0,8.0,0.0,1.0,0.0,4.0,15.0,1.0,24.0,8.0,0.0,5.0,1.0,2.0,1.0,27.0,13.0,8.0,2.0,10.0,12.0,10.0,2.0,16.0,4.0,6.0,2.0,10.0,16.0,1.0,1.0,5.0,2.0,0.0,2.0,7.0,40.0,82.0,3.0,50.0,1.0,2.0,3.0
51,39,15.0,24.0,8.0,3.0,34.0,32.0,10.0,3.0,15.0,21.0,6.0,0.0,12.0,8.0,18.0,3.0,10.0,15.0,0.0,5.0,0.0,24.0,14.0,18.0,42.0,23.0,0.0,24.0,0.0,3.0,0.0,1.0,3.0,7.0,2.0,4.0,16.0,18.0,5.0,7.0,5.0,0.0,3.0,18.0,13.0,2.0,56.0,8.0,5.0,2.0,48.0,21.0,4.0,0.0,13.0,10.0,7.0,3.0,40.0,11.0,8.0,140.0,16.0,27.0,2.0,7.0,5.0,2.0,0.0,6.0,6.0,10.0,10.0,38.0,7.0,3.0,5.0,0.0,5.0,10.0,13.0,26.0,560.0,20.0,54.0,2.0,4.0,12.0,45.0,1.0,3.0,14.0,3.0,0.0,3.0,9.0,11.0,3.0,11.0,8.0,5.0,3.0,0.0,0.0,11.0,8.0,8.0,3.0,3.0,8.0,4.0,0.0,4.0,4.0,14.0,1.0,1.0,2.0,3.0,6.0,16.0,38.0,2.0,30.0,5.0,34.0,26.0,3.0,0.0,0.0,12.0,4.0,1.0,14.0,3.0,9.0,9.0,5.0,24.0,20.0,3.0,10.0,3.0,120.0,1.0,4.0,7.0,5.0,8.0,14.0,38.0,6.0,3.0,2.0,1.0,5.0,2.0,22.0,4.0,84.0,4.0,5.0,25.0,13.0,7.0,14.0,4.0,8.0,0.0,1.0,12.0,3.0,14.0,51.0,17.0,4.0,9.0,11.0,1.0,12.0,10.0,5.0,7.0,1.0,23.0,18.0,14.0,2.0,3.0,10.0,15.0,10.0,2.0,0.0,5.0,4.0,21.0,20.0,7.0,3.0,2.0,10.0,15.0,11.0,8.0,47.0,28.0,1.0,14.0,0.0,4.0,11.0,0.0,0.0,6.0,1.0,13.0,2.0,9.0,41.0,25.0,3.0,4.0,1.0,5.0,1.0,3.0,87.0,1.0,15.0,1.0,3.0,0.0,6.0,15.0,1.0,36.0,14.0,3.0,15.0,1.0,5.0,5.0,29.0,37.0,13.0,1.0,9.0,11.0,16.0,2.0,28.0,17.0,5.0,6.0,55.0,36.0,5.0,2.0,18.0,4.0,3.0,0.0,6.0,92.0,53.0,4.0,55.0,4.0,1.0,4.0
51,40,7.0,11.0,12.0,2.0,8.0,30.0,16.0,2.0,7.0,15.0,2.0,1.0,5.0,6.0,9.0,3.0,6.0,5.0,1.0,8.0,1.0,19.0,9.0,15.0,39.0,6.0,5.0,14.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,3.0,8.0,8.0,3.0,0.0,9.0,0.0,1.0,6.0,6.0,3.0,20.0,4.0,7.0,0.0,15.0,14.0,1.0,1.0,19.0,5.0,2.0,3.0,31.0,3.0,4.0,113.0,4.0,5.0,0.0,1.0,2.0,1.0,0.0,19.0,12.0,5.0,6.0,31.0,4.0,12.0,2.0,0.0,1.0,2.0,41.0,15.0,274.0,8.0,23.0,1.0,0.0,8.0,21.0,0.0,5.0,7.0,1.0,0.0,2.0,7.0,9.0,3.0,5.0,6.0,0.0,5.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,5.0,2.0,1.0,7.0,4.0,0.0,4.0,0.0,12.0,8.0,14.0,0.0,10.0,29.0,25.0,9.0,2.0,3.0,2.0,9.0,5.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,21.0,2.0,11.0,9.0,50.0,1.0,2.0,14.0,4.0,4.0,9.0,25.0,3.0,2.0,2.0,1.0,0.0,4.0,10.0,1.0,87.0,4.0,6.0,14.0,4.0,12.0,6.0,3.0,7.0,0.0,1.0,11.0,0.0,3.0,31.0,13.0,6.0,16.0,5.0,1.0,3.0,8.0,0.0,4.0,0.0,9.0,13.0,12.0,2.0,0.0,12.0,6.0,3.0,4.0,2.0,1.0,0.0,12.0,17.0,2.0,4.0,8.0,6.0,5.0,4.0,10.0,14.0,14.0,0.0,5.0,0.0,5.0,4.0,0.0,1.0,15.0,0.0,8.0,2.0,4.0,14.0,17.0,4.0,3.0,0.0,4.0,0.0,1.0,67.0,5.0,19.0,2.0,0.0,0.0,2.0,7.0,0.0,29.0,5.0,3.0,6.0,1.0,6.0,2.0,38.0,11.0,12.0,0.0,9.0,5.0,8.0,1.0,13.0,8.0,3.0,2.0,19.0,12.0,5.0,3.0,9.0,10.0,11.0,0.0,5.0,40.0,56.0,3.0,64.0,8.0,2.0,4.0
51,41,6.0,4.0,6.0,1.0,15.0,9.0,4.0,0.0,7.0,3.0,0.0,0.0,3.0,2.0,3.0,1.0,5.0,5.0,1.0,0.0,0.0,9.0,7.0,3.0,17.0,7.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,8.0,2.0,0.0,2.0,0.0,1.0,4.0,7.0,2.0,15.0,5.0,0.0,1.0,3.0,4.0,1.0,3.0,4.0,9.0,0.0,1.0,3.0,3.0,0.0,38.0,5.0,9.0,1.0,0.0,0.0,7.0,1.0,2.0,4.0,1.0,3.0,11.0,1.0,1.0,6.0,1.0,3.0,2.0,12.0,7.0,243.0,4.0,8.0,1.0,3.0,2.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,1.0,11.0,0.0,6.0,0.0,6.0,3.0,3.0,0.0,5.0,2.0,2.0,0.0,6.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,2.0,3.0,16.0,1.0,4.0,13.0,1.0,2.0,9.0,10.0,3.0,2.0,2.0,0.0,2.0,4.0,7.0,1.0,38.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,7.0,4.0,4.0,8.0,2.0,0.0,3.0,8.0,3.0,2.0,3.0,15.0,11.0,6.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,2.0,4.0,9.0,4.0,0.0,0.0,3.0,4.0,1.0,1.0,21.0,16.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,26.0,1.0,11.0,0.0,1.0,0.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,0.0,0.0,1.0,6.0,8.0,6.0,0.0,2.0,1.0,11.0,3.0,4.0,2.0,0.0,1.0,7.0,5.0,2.0,0.0,6.0,2.0,0.0,2.0,2.0,17.0,34.0,2.0,9.0,0.0,0.0,1.0
51,42,0.0,0.0,3.0,2.0,3.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,4.0,17.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,8.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,13.0,3.0,1.0,0.0,0.0,2.0,1.0,7.0,3.0,105.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,8.0,0.0,2.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,6.0,1.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,3.0,7.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,6.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,11.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,16.0,0.0,2.0,4.0,4.0,4.0
51,43,13.0,23.0,20.0,1.0,37.0,67.0,26.0,6.0,9.0,10.0,4.0,0.0,10.0,7.0,19.0,2.0,12.0,19.0,1.0,7.0,2.0,44.0,22.0,21.0,60.0,24.0,3.0,20.0,0.0,1.0,3.0,5.0,6.0,12.0,7.0,6.0,18.0,22.0,11.0,4.0,25.0,4.0,3.0,15.0,18.0,5.0,69.0,9.0,10.0,2.0,34.0,19.0,5.0,3.0,21.0,12.0,8.0,6.0,43.0,20.0,6.0,145.0,13.0,22.0,3.0,10.0,3.0,15.0,3.0,2.0,26.0,13.0,20.0,59.0,7.0,4.0,15.0,2.0,3.0,3.0,56.0,32.0,752.0,17.0,42.0,6.0,4.0,13.0,52.0,1.0,7.0,11.0,7.0,0.0,0.0,11.0,14.0,4.0,9.0,13.0,1.0,11.0,2.0,0.0,9.0,11.0,5.0,2.0,1.0,7.0,8.0,5.0,11.0,3.0,17.0,8.0,1.0,12.0,0.0,16.0,29.0,31.0,1.0,23.0,1.0,41.0,30.0,9.0,3.0,8.0,11.0,7.0,2.0,23.0,8.0,3.0,16.0,3.0,18.0,27.0,7.0,18.0,24.0,84.0,2.0,1.0,33.0,11.0,14.0,24.0,42.0,5.0,9.0,4.0,1.0,2.0,9.0,32.0,1.0,145.0,9.0,10.0,16.0,14.0,19.0,13.0,4.0,8.0,5.0,3.0,20.0,1.0,15.0,59.0,26.0,15.0,21.0,16.0,3.0,6.0,29.0,9.0,19.0,5.0,36.0,17.0,17.0,1.0,6.0,15.0,10.0,4.0,3.0,4.0,6.0,6.0,17.0,21.0,7.0,4.0,2.0,16.0,24.0,20.0,18.0,41.0,44.0,4.0,36.0,1.0,1.0,24.0,0.0,3.0,25.0,2.0,15.0,10.0,17.0,50.0,33.0,4.0,8.0,6.0,7.0,3.0,4.0,112.0,3.0,39.0,3.0,6.0,4.0,3.0,20.0,3.0,55.0,13.0,3.0,14.0,0.0,2.0,8.0,43.0,29.0,9.0,1.0,13.0,14.0,18.0,4.0,22.0,15.0,2.0,5.0,35.0,26.0,3.0,5.0,12.0,10.0,6.0,1.0,12.0,91.0,176.0,4.0,100.0,8.0,3.0,2.0
51,44,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,7.0,0.0,80.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
51,45,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
51,46,0.0,7.0,4.0,7.0,12.0,10.0,1.0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,3.0,1.0,6.0,8.0,12.0,9.0,10.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,7.0,5.0,0.0,1.0,4.0,1.0,1.0,10.0,4.0,1.0,12.0,4.0,5.0,1.0,5.0,3.0,2.0,0.0,2.0,3.0,4.0,1.0,6.0,5.0,2.0,29.0,4.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,3.0,40.0,7.0,4.0,6.0,2.0,1.0,0.0,0.0,4.0,253.0,9.0,2.0,0.0,2.0,5.0,10.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,2.0,3.0,6.0,1.0,5.0,93.0,11.0,1.0,8.0,4.0,1.0,5.0,5.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,9.0,0.0,3.0,4.0,11.0,1.0,2.0,0.0,4.0,2.0,6.0,1.0,12.0,4.0,1.0,1.0,4.0,2.0,6.0,0.0,35.0,3.0,2.0,3.0,2.0,6.0,4.0,1.0,3.0,2.0,1.0,6.0,0.0,3.0,13.0,8.0,1.0,8.0,5.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,7.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,3.0,2.0,9.0,6.0,0.0,0.0,1.0,2.0,9.0,9.0,7.0,16.0,8.0,0.0,42.0,2.0,2.0,0.0,0.0,1.0,8.0,1.0,6.0,4.0,1.0,14.0,5.0,4.0,9.0,0.0,4.0,0.0,5.0,4.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,3.0,0.0,3.0,0.0,5.0,9.0,0.0,0.0,6.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,0.0,3.0,13.0,0.0,3.0,1.0
51,47,4.0,3.0,3.0,0.0,8.0,15.0,7.0,2.0,6.0,2.0,2.0,0.0,4.0,1.0,11.0,0.0,7.0,10.0,0.0,3.0,0.0,12.0,11.0,6.0,21.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,0.0,6.0,5.0,2.0,10.0,3.0,6.0,1.0,5.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,11.0,4.0,6.0,45.0,2.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,5.0,2.0,9.0,13.0,3.0,2.0,2.0,0.0,0.0,0.0,13.0,8.0,85.0,5.0,12.0,2.0,0.0,4.0,7.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,5.0,0.0,6.0,5.0,11.0,0.0,9.0,1.0,10.0,4.0,2.0,2.0,0.0,2.0,5.0,0.0,6.0,1.0,2.0,3.0,1.0,3.0,6.0,1.0,3.0,5.0,13.0,2.0,1.0,4.0,1.0,3.0,8.0,9.0,0.0,4.0,0.0,1.0,2.0,1.0,8.0,4.0,31.0,4.0,1.0,4.0,0.0,2.0,6.0,0.0,5.0,0.0,3.0,5.0,0.0,5.0,19.0,5.0,1.0,4.0,3.0,1.0,1.0,6.0,1.0,5.0,0.0,10.0,6.0,4.0,2.0,2.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0,9.0,3.0,3.0,0.0,0.0,2.0,4.0,3.0,6.0,14.0,11.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,4.0,3.0,4.0,15.0,9.0,3.0,1.0,0.0,2.0,0.0,0.0,34.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,6.0,0.0,3.0,1.0,0.0,0.0,18.0,7.0,7.0,0.0,9.0,4.0,7.0,1.0,11.0,5.0,1.0,0.0,9.0,2.0,2.0,0.0,7.0,2.0,0.0,1.0,1.0,28.0,62.0,5.0,32.0,2.0,0.0,1.0
51,48,8.0,7.0,13.0,1.0,28.0,20.0,8.0,5.0,7.0,7.0,2.0,1.0,2.0,3.0,12.0,0.0,7.0,11.0,2.0,4.0,1.0,16.0,11.0,14.0,29.0,6.0,3.0,21.0,0.0,1.0,0.0,0.0,5.0,3.0,3.0,1.0,8.0,7.0,4.0,8.0,8.0,1.0,1.0,5.0,10.0,3.0,27.0,11.0,4.0,1.0,12.0,20.0,3.0,5.0,7.0,11.0,1.0,2.0,19.0,9.0,3.0,72.0,8.0,9.0,1.0,2.0,4.0,10.0,2.0,9.0,8.0,6.0,7.0,14.0,2.0,7.0,12.0,3.0,4.0,3.0,5.0,15.0,423.0,10.0,10.0,0.0,2.0,12.0,22.0,0.0,4.0,7.0,1.0,0.0,5.0,3.0,4.0,1.0,4.0,10.0,2.0,6.0,0.0,1.0,3.0,2.0,5.0,4.0,2.0,6.0,3.0,4.0,5.0,3.0,8.0,2.0,1.0,6.0,0.0,7.0,9.0,14.0,1.0,6.0,5.0,32.0,7.0,4.0,2.0,12.0,3.0,1.0,4.0,4.0,2.0,4.0,7.0,5.0,9.0,9.0,5.0,11.0,8.0,33.0,3.0,3.0,20.0,5.0,5.0,7.0,23.0,9.0,6.0,5.0,1.0,0.0,0.0,14.0,5.0,44.0,4.0,2.0,18.0,5.0,6.0,4.0,0.0,7.0,2.0,3.0,11.0,5.0,6.0,24.0,22.0,7.0,13.0,9.0,0.0,1.0,16.0,7.0,8.0,8.0,12.0,8.0,8.0,1.0,1.0,6.0,4.0,2.0,2.0,1.0,3.0,6.0,13.0,17.0,2.0,1.0,1.0,7.0,4.0,6.0,14.0,26.0,20.0,3.0,11.0,0.0,3.0,14.0,0.0,5.0,13.0,0.0,7.0,7.0,3.0,27.0,5.0,2.0,3.0,0.0,1.0,4.0,2.0,53.0,0.0,13.0,0.0,2.0,1.0,2.0,6.0,2.0,9.0,14.0,0.0,7.0,1.0,5.0,2.0,31.0,15.0,9.0,1.0,15.0,4.0,11.0,0.0,14.0,6.0,5.0,5.0,20.0,14.0,2.0,1.0,6.0,6.0,1.0,3.0,7.0,41.0,76.0,1.0,52.0,3.0,2.0,3.0
